,outils
0,limesurvey|tableur
15,traitement de texte
16,mysql|office|shades
18,soft concept|nvivo|word
20,word|excel|vide supra
21,suite adobe|qgis|adobe bridge|sig
24,sphinx
25,calc|r|python|java|gimp
26,word
27,oxygen xml editor|gedit|vim|libreoffice|python|dataïku|openrefine|r|latex|qgis
28,stata|excel
29,
30,word|photoshop
32,word|nvivo|ccleaner|powerpoint
34,openoffice|heurist
35,excel|access
38,traitement de texte|excel
41,renablmp|gertrude|office|coreldraw|autocad|arcview
45,word
48,traitement d'image
50,abc-map
57,office|paint
64,qgis|r|gephi|qgis|r|office|paint|inkscape|google earth
65,word|excel|gimp|illustrator
68,tableur|r|sig|tableurs|sublime text|inkscape
69,python|sphinx|excel|word
70,excel
72,office|filemaker|office|adobe acrobat|sumatra|logiciels pour images
73,stata
74,vlc|r|iramuteq|alceste|excel|spss|atlasti|magritt
75,osmand|josm|qgis|osm|card'obs|postgresql|etl|r|excel|gephi|adobe illustrator
76,r|excel
79,office
80,scrivener|maxqda|sphinx|word|latex|excel
83,
84,publish or perish|iramuteq|mywebintelligence|gephi|rawgraphs|observable
86,parlatype|libreoffice|python|qgis|openrefine|qualcoder|qgis|iramuteq|jamovi|r|diagram.net|karthis|magrit|inkscape
87,python|open refine|txm|observable|draw.io|leaflet
88,r|tableur|sql|r|postgres|paraview|inkscape|latex
89,word|oxygen
90,office
92,libreoffice|vlc|alceste|iramuteq|gimp|inkscape
93,office|filemaker|adobe|adobe bridge|adobe photoshop
94,php|mysql|oxygen|zotero|osm|xataface
95,word|excel|access|acrobat|illustrator
96,
97,sonal|zotero|office|gimp
98,exist-db|oxygen xml editor|open office|mysql|gephi|r|xquery|xslt|sql|gephi|adobe illustrator
99,traitement de texte|tableurs|gimp
100,word|troppi|ccleaner
101,word
102,excel|carto|adobe|r|aegis|map info
103,excel|stata|sas|philcarto
104,oxygen|sublime text|r|gephi|latex
105,word
106,nvivo
107,filemaker|excel|word
108,word|excel|powerpoint|filemaker|adobe creative suite|photoshop|illustrator
109,
110,word|excel|zotero
111,open office|excel|r
113,sphinx|nvivo|stata|open office
115,omeka s|tableurs|google data studio|umap|qgis|excel|outils en ligne
116,office|word|excel|adobe photodeluxe|firesho|foxit reader
118,limesurvey|r
119,sonal|libreoffice
121,r|julia|plotly
122,excel|philcarto|adobe illustrator|philcarto
123,office|word|excel|powerpoint|open office|suite adobe|premiere pro|after effect|photoshop|indesign|dia|tamil|viewnx2|pao
124,word|illustrator|photoshop|excel|arcgis
125,inquisit|qualtrics|opensesame|excel|r|jamovi
126,easel.ly
127,adobe|photoshop|word|illustrator
128,filemaker|word|adobe illustrator
129,word
130,word|excel|iramuteq
131,
132,filemaker
133,word|adobe premiere|adobe photoshop|powerpoint
134,eye-tracking|iview|r
135,tao|traitement de texte
136,needle|limesurvey|excel|r|gephi|word|powerpoint|photoshop
137,excel|word|xnviewmp|xnviewmp
139,python|gimp
140,spss|nvivo
141,filemaker|illustrator|excel
143,corel draw|filemaker|illustrator|photoshop
145,excel|powerpoint
146,
147,word|qgis|adobe
148,excel|alceste
149,qgis|libreoffice|limesurvey|rqda|notepad|knime|r|magrit|inkscape|vue
150,traitement de texte|dragon|atlasti
151,office|vlc|excel
152,lexico|txm|iramuteq|tropes|tableur|notepad|gephi
153,word|access|excel|qgis|illustrator
154,filemaker|excel|word|photoshop|illustrator
155,cartes et données|philcarto|excel|
156,open office|filemaker|illustrator|autocad|agisoft|photoscan|photoshop|arcgis|illustrator|arcgis
157,antconc|unitex|logiterm
158,word
159,word
160,office|adobe|qgis|qgis|illustrator
162,r|sas|r|excel
163,quantum gis|adobe|r|excel|illustrator|photofiltre|photoshop
164,word|deltagraph
165,sphinx|nvivo|gimp|word
166,excel|r|qgis|webplotdigitizer
167,word|excel|r|illustrator|photoshop|affinity|qgis|alex
168,
169,access|r|gimp
170,word
171,excel|word|spss|statistica|r|excel
172,r|spss|stata
174,word|ccleaner|word|photoshop
175,nvivo|libreoffice|printscreen
176,libreoffice|inskcape|adobe illustrator
178,
180,linux|word
181,excel
182,excel|evernote|atlasti|sonal|photoshop
183,adobe|excel|gimp
184,sonal|jamovi
185,elan|clan|transcriber|sonal|tei|gephi
186,r|illustrator|latex|qgis|r|python
187,office|nvivo|transana|handbrake|nvivo|draw
188,word|excel|powerpoint|tropes|inkscape|gimp
189,arcgis|qgis|snap|postgresql|python|excel|r|snap|illustrator|inkscape
190,limesurvey|spad|alceste|vlc|word|openoffice|excel
191,excel|access|r|word
192,word|scrivener|xmind|troppy|xmind|zotero
193,powerpoint
194,office
195,thomson nikon|limesurvey|excel|r|gretl
196,xlsstat|sonal|xls|sonal
197,word|powerpoint
198,word|excel
199,
201,jasp|jamovi|spss|amos|word
202,e prime|opensesame|statistica|r|excel
203,dragon|googledoc|zoom|nvivo|r|keynote|word|powerpoint
204,word|txm|nooj
205,superlab|excel|r|inkscape
206,dataviewer|eprime|r|spss|jasp
207,e-prime|open sesam|powerpoint|r|statistica|excel
208,office|oméka|excel
210,limesurvey|spss|lisrel|stata||word
215,
216,stata|qgis|arcgis|excel|stata|qgis|arcgis
219,oxygen|dataiku|orange datamining|tableur
220,openoffice|gimp|txm|iramuteq|openoffice|wordcloud.com
221,accordance
222,oxygen|basex|julia|zotero|openrefine|julialang|xquery|gephi|cytoscape|palladio|illustrator
223,word|oxygen
224,traitement de texte|zotero|word|mindmeister|voyant tools|timeline|voyant tools|storymap
225,r|spss|python|spss
226,courants|traitement de texte
227,word|powerpoint|gimp
229,spss|stata|sas
231,mysql|filemaker|nakala|sql|perl|leaflet|gephi
235,sublime text|oxygen
236,stata|r|stata|qgis|stata
238,
239,python|iramuteq|gephi|office
241,libreoffice
242,filemaker|adobe illustrator|excel
243,excel|adobe|in design
245,sona system|googledrive|excel|jamovi|r|adobe xd
247,spss|nesstar|r
